Series Name;Series Code;Country Name;Country Code;2019 [YR2019]
GDP per capita (current US$);NY.GDP.PCAP.CD;Afghanistan;AFG;497,7414313
GDP per capita (current US$);NY.GDP.PCAP.CD;Albania;ALB;5396,214243
GDP per capita (current US$);NY.GDP.PCAP.CD;Algeria;DZA;4530,101745
GDP per capita (current US$);NY.GDP.PCAP.CD;American Samoa;ASM;13672,57666
GDP per capita (current US$);NY.GDP.PCAP.CD;Andorra;AND;41328,6005
GDP per capita (current US$);NY.GDP.PCAP.CD;Angola;AGO;2191,347764
GDP per capita (current US$);NY.GDP.PCAP.CD;Antigua and Barbuda;ATG;18730,0048
GDP per capita (current US$);NY.GDP.PCAP.CD;Argentina;ARG;9963,674162
GDP per capita (current US$);NY.GDP.PCAP.CD;Armenia;ARM;4828,504886
GDP per capita (current US$);NY.GDP.PCAP.CD;Aruba;ABW;31902,80982
GDP per capita (current US$);NY.GDP.PCAP.CD;Australia;AUS;55049,57192
GDP per capita (current US$);NY.GDP.PCAP.CD;Austria;AUT;50067,58573
GDP per capita (current US$);NY.GDP.PCAP.CD;Azerbaijan;AZE;4805,753718
GDP per capita (current US$);NY.GDP.PCAP.CD;Bahamas, The;BHS;32173,95818
GDP per capita (current US$);NY.GDP.PCAP.CD;Bahrain;BHR;25869,11291
GDP per capita (current US$);NY.GDP.PCAP.CD;Bangladesh;BGD;2122,037652
GDP per capita (current US$);NY.GDP.PCAP.CD;Barbados;BRB;19156,03987
GDP per capita (current US$);NY.GDP.PCAP.CD;Belarus;BLR;6837,768321
GDP per capita (current US$);NY.GDP.PCAP.CD;Belgium;BEL;46641,7214
GDP per capita (current US$);NY.GDP.PCAP.CD;Belize;BLZ;6134,215233
GDP per capita (current US$);NY.GDP.PCAP.CD;Benin;BEN;1170,885995
GDP per capita (current US$);NY.GDP.PCAP.CD;Bermuda;BMU;116153,1661
GDP per capita (current US$);NY.GDP.PCAP.CD;Bhutan;BTN;3564,598771
GDP per capita (current US$);NY.GDP.PCAP.CD;Bolivia;BOL;3472,380831
GDP per capita (current US$);NY.GDP.PCAP.CD;Bosnia and Herzegovina;BIH;6094,724823
GDP per capita (current US$);NY.GDP.PCAP.CD;Botswana;BWA;6691,160846
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;8845,324149
GDP per capita (current US$);NY.GDP.PCAP.CD;British Virgin Islands;VGB;..
GDP per capita (current US$);NY.GDP.PCAP.CD;Brunei Darussalam;BRN;30748,30924
GDP per capita (current US$);NY.GDP.PCAP.CD;Bulgaria;BGR;9874,336326
GDP per capita (current US$);NY.GDP.PCAP.CD;Burkina Faso;BFA;765,2295604
GDP per capita (current US$);NY.GDP.PCAP.CD;Burundi;BDI;216,9729709
GDP per capita (current US$);NY.GDP.PCAP.CD;Cabo Verde;CPV;3903,050317
GDP per capita (current US$);NY.GDP.PCAP.CD;Cambodia;KHM;1671,3854
GDP per capita (current US$);NY.GDP.PCAP.CD;Cameroon;CMR;1538,563063
GDP per capita (current US$);NY.GDP.PCAP.CD;Canada;CAN;46352,86934
GDP per capita (current US$);NY.GDP.PCAP.CD;Cayman Islands;CYM;89846,3211
GDP per capita (current US$);NY.GDP.PCAP.CD;Central African Republic;CAF;426,4087531
GDP per capita (current US$);NY.GDP.PCAP.CD;Chad;TCD;701,621201
GDP per capita (current US$);NY.GDP.PCAP.CD;Channel Islands;CHI;58564,3501
GDP per capita (current US$);NY.GDP.PCAP.CD;Chile;CHL;14616,20725
